title,function,industries,cluster
"js (react, node.js) developer",other,staffing and recruiting,13
"junior trader - dubai, uae",finance and sales,"technology, information and internet",13
java developer,engineering and information technology,staffing and recruiting,13
node.js developer with graphql,engineering and information technology,staffing and recruiting,13
senior python developer,engineering and information technology,staffing and recruiting,13
java developer,engineering and information technology,staffing and recruiting,13
fullstack developer (node.js & react),engineering and information technology,staffing and recruiting,13
java developer,engineering and information technology,staffing and recruiting,13
senior frontend developer,engineering and information technology,staffing and recruiting,13
node.js developer,engineering and information technology,staffing and recruiting,13
salesforce developer,information technology,staffing and recruiting,13
"junior trader - dubai, uae",finance and sales,"technology, information and internet",13
fullstack developer,engineering and information technology,"medical equipment manufacturing, biotechnology research, and hospitals and health care",13
data engineer,information technology,staffing and recruiting,13
"senior back-end developer - dubai, uae",engineering and information technology,"technology, information and internet",13
"business analyst - dubai, uae","research, analyst, and information technology","technology, information and internet",13
"full stack developer, laravel and vuejs",engineering and information technology,staffing and recruiting,13
devops engineer (gcp),engineering and information technology,staffing and recruiting,13
networking engineer,information technology,staffing and recruiting,13
java developer,engineering and information technology,staffing and recruiting,13
networking engineer,information technology,staffing and recruiting,13
"algorithmic power trader - dubai, uae",finance and sales,"technology, information and internet",13
"software engineer - dubai, uae",engineering and information technology,"technology, information and internet",13
data engineer,information technology,staffing and recruiting,13
data engineer,information technology,staffing and recruiting,13
data engineer,information technology,staffing and recruiting,13
"junior trader - dubai, uae",finance and sales,"technology, information and internet",13
networking engineer,information technology,staffing and recruiting,13
node.js developer,engineering and information technology,staffing and recruiting,13
node.js developer,engineering and information technology,staffing and recruiting,13
qa engineer,engineering and information technology,staffing and recruiting,13
european gas trader,supply chain,oil and gas and international trade and development,13
"business analyst - dubai, uae","research, analyst, and information technology","technology, information and internet",13
frontend tech lead,sales and business development,staffing and recruiting,13
fullstack developer (node.js & react),engineering and information technology,staffing and recruiting,13
